,Person_ID
6,21.0
14,58.0
32,41.0
46,22.0
47,69.0
50,14.0
58,
60,20.0
62,44.0
69,32.0
72,66.0
76,9.0
85,52.0
88,7.0
96,23.0
107,38.0
108,62.0
109,8.0
116,
126,1.0
127,4.0
129,67.0
150,56.0
151,77.0
201,55.0
210,36.0
225,13.0
230,5.0
235,
248,76.0
251,
269,43.0
272,24.0
285,
298,40.0
299,70.0
321,
347,2.0
371,61.0
376,30.0
384,17.0
417,51.0
421,34.0
425,
439,42.0
444,49.0
464,3.0
473,
474,10.0
485,
510,39.0
511,50.0
513,54.0
524,74.0
531,53.0
537,11.0
555,
572,45.0
575,37.0
583,16.0
594,57.0
624,64.0
625,
630,12.0
640,33.0
649,73.0
650,
652,25.0
671,68.0
702,28.0
719,6.0
720,
724,35.0
727,59.0
728,75.0
737,
738,29.0
740,46.0
745,48.0
750,26.0
753,31.0
765,65.0
781,71.0
786,
791,
796,78.0
803,60.0
807,15.0
815,72.0
824,63.0
836,18.0
843,47.0
844,27.0
854,
856,19.0
