,high_eps_final
0,1 2020-08-07
1,1 2020-08-11
2,1 2020-08-12
3,1 2020-08-13
4,1 2020-08-14
5,1 2020-08-17
6,1 2020-08-18
7,1 2020-09-03
8,12 2019-09-30
9,12 2019-10-01
10,12 2019-10-02
11,12 2019-10-03
12,12 2019-10-05
13,12 2019-10-09
14,12 2019-11-01
15,12 2019-11-04
16,12 2019-11-05
17,12 2019-11-06
18,12 2019-11-07
19,12 2019-11-08
20,12 2019-11-12
21,12 2019-11-20
22,12 2019-12-05
23,12 2019-12-06
24,12 2019-12-09
25,12 2019-12-10
26,12 2019-12-11
27,12 2019-12-12
28,12 2019-12-13
29,12 2019-12-16
30,12 2019-12-20
31,12 2020-01-02
32,12 2020-01-03
33,12 2020-01-06
34,12 2020-01-07
35,12 2020-01-08
36,12 2020-01-09
37,12 2020-01-10
38,12 2020-01-14
39,12 2020-01-15
40,12 2020-01-17
41,12 2020-01-21
42,12 2020-01-22
43,12 2020-01-23
44,12 2020-01-24
45,12 2020-01-27
46,12 2020-01-29
47,12 2020-01-30
48,12 2020-02-03
49,12 2020-02-04
50,12 2020-02-05
51,12 2020-02-11
52,12 2020-02-12
53,12 2020-02-14
54,12 2020-02-18
55,12 2020-02-19
56,12 2020-02-20
57,12 2020-02-25
58,12 2020-02-26
59,12 2020-02-27
60,12 2020-02-28
61,12 2020-03-02
62,12 2020-03-03
63,12 2020-03-07
64,12 2020-03-11
65,12 2020-03-12
66,12 2020-03-17
67,12 2020-03-23
68,12 2020-04-01
69,12 2020-04-01
70,12 2020-05-13
71,13 2020-03-11
72,13 2020-03-20
73,15 2020-05-08
74,15 2020-05-10
75,16 2019-10-16
76,16 2020-03-13
77,16 2020-03-13
78,18 2020-03-10
79,2 2019-09-16
80,2 2019-10-07
81,2 2019-10-16
82,2 2019-10-31
83,2 2019-11-04
84,2 2019-11-06
85,2 2019-11-15
86,2 2019-11-19
87,2 2019-11-25
88,2 2019-11-26
89,2 2019-12-20
90,2 2020-01-03
91,2 2020-01-08
92,2 2020-01-09
93,2 2020-01-10
94,21 2020-01-28
95,22 2020-08-26
96,27 2020-01-16
97,31 2020-01-10
98,32 2019-11-08
99,39 2019-10-04
100,39 2019-12-14
101,40 2019-10-21
102,40 2019-12-04
103,40 2019-12-05
104,40 2019-12-09
105,40 2019-12-12
106,40 2020-01-07
107,40 2020-01-16
108,40 2020-07-13
109,43 2019-12-09
110,43 2019-12-10
111,43 2019-12-16
112,43 2019-12-18
113,43 2020-01-03
114,43 2020-01-09
115,43 2020-01-10
116,43 2020-01-27
117,43 2020-01-29
118,43 2020-02-04
119,43 2020-02-25
120,43 2020-02-26
121,43 2020-02-28
122,43 2020-03-04
123,5 2019-09-17
124,5 2019-09-18
125,5 2019-09-20
126,5 2019-09-23
127,5 2019-09-25
128,5 2019-09-26
129,5 2019-09-27
130,5 2019-10-01
131,5 2019-10-01
132,5 2019-10-02
133,5 2019-10-03
134,5 2019-10-04
135,5 2019-10-07
136,5 2019-10-09
137,5 2019-10-10
138,5 2019-10-11
139,5 2019-10-15
140,5 2019-10-16
141,5 2019-10-17
142,5 2019-10-22
143,5 2019-10-23
144,5 2019-10-24
145,5 2019-10-28
146,5 2019-10-29
147,5 2019-10-30
148,5 2019-10-31
149,5 2019-11-01
150,5 2019-11-05
151,5 2019-11-06
152,5 2019-11-06
153,5 2019-11-07
154,5 2019-11-08
155,5 2019-11-12
156,5 2019-11-13
157,5 2019-11-15
158,5 2019-11-18
159,5 2019-11-20
160,5 2019-11-25
161,5 2019-12-03
162,5 2019-12-05
163,5 2019-12-12
164,5 2019-12-16
165,5 2019-12-18
166,5 2019-12-19
167,5 2019-12-20
168,5 2020-01-02
169,5 2020-01-03
170,5 2020-01-08
171,5 2020-01-10
172,5 2020-01-12
173,5 2020-01-13
174,5 2020-01-14
175,5 2020-01-15
176,5 2020-01-16
177,5 2020-01-17
178,5 2020-01-21
179,5 2020-01-23
180,5 2020-01-24
181,5 2020-01-28
182,5 2020-01-30
183,5 2020-02-05
184,5 2020-02-07
185,5 2020-02-12
186,5 2020-02-21
187,5 2020-02-25
188,5 2020-03-03
189,5 2020-03-04
190,5 2020-03-06
